id,judul,link,harga,lokasi,image_url,image_path,kamar_tidur,kamar_mandi,parkir,luas_bangunan,luas_tanah,waktu_update
69,Rumah Dijual Bantul Cocok Untuk Homestay Barat Alfamart Tugu Lilin,https://www.rumah123.com/properti/yogyakarta/hos18077934/,387.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/7c6e04dec730fcff08a4c3691710285b.jpg,property_images\property_69.jpg,2.0,1.0,1.0,,,2024-11-07 13:26:22.859213
70,Rumah Dalam Cluster New Verania Dekat Kampus Umy Dan Malioboro,https://www.rumah123.com/properti/yogyakarta/hos18387321/,2000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1968845/6ef0e477c68232211d1ef1e68d8ecba4.jpg,property_images\property_70.jpg,4.0,3.0,2.0,,,2024-11-07 13:26:24.316584
71,Hunian Nyaman Untuk Masa Pensiun di Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos18564898/,834.0,"Project ini telah berhasil diverifikasi oleh Developer bersama tim Rumah123, memastikan informasi yang akurat dan dapat dipercaya.",https://picture.rumah123.com/r123-images/720x420-crop/customer/2109277/1738af88b28d2ee46f8787c4971cf40a.jpg,property_images\property_71.jpg,2.0,1.0,1.0,,,2024-11-07 13:26:25.130916
72,"Cluster Baru Termurah di Ngaglik, Dekat Rs Gramedika",https://www.rumah123.com/properti/yogyakarta/hos16076307/,485.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1776782/2023-12-09-04-38-27-8daa2215-184f-4f89-b1a2-9660ce4b2a8c.jpg,property_images\property_72.jpg,2.0,1.0,1.0,,,2024-11-07 13:26:31.920506
73,Rumah Mewah Minimalis Di Barat Kota Jogja,https://www.rumah123.com/properti/yogyakarta/hos18578342/,734.0,"Project ini telah berhasil diverifikasi oleh Developer bersama tim Rumah123, memastikan informasi yang akurat dan dapat dipercaya.",https://picture.rumah123.com/r123-images/720x420-crop/customer/2109277/98e2a7e7272e16987b8077a5e63eddbb.jpg,property_images\property_73.jpg,2.0,1.0,1.0,,,2024-11-07 13:26:36.889902
74,Jual Murah Rumah Mewah Yogyakarta,https://www.rumah123.com/properti/yogyakarta/hos17597848/,6000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2033166/2024-07-15-07-30-30-2dae0929-9219-4a5f-9d98-3618ba3d7146.jpg,property_images\property_74.jpg,6.0,4.0,2.0,,,2024-11-07 13:26:40.393484
75,"Dijual Rumah Garansi Sewa 5 Tahun, 2 Lantai Full Furnished Dalam Perum, Dekat Apmd",https://www.rumah123.com/properti/yogyakarta/hos13376422/,2000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1802578/2023-04-09-02-17-40-97b7b2c1-23c5-4954-ba9b-338aabf1da89.jpg,property_images\property_75.jpg,4.0,4.0,2.0,,,2024-11-08 01:26:41.581103
76,Rumah Murah Modern Minimalis SHM Di Seyegan Sleman,https://www.rumah123.com/properti/yogyakarta/hos18138025/,299.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2044714/db04cccf8af46c9970ab22dd4a7b6abd.jpg,property_images\property_76.jpg,2.0,1.0,1.0,,,2024-11-07 13:26:42.729806
77,Rumah Hunian Murah Nyaman di Seyegan Sleman,https://www.rumah123.com/properti/yogyakarta/hos18302870/,299.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/2044714/0f1df723f4c157e45488c5703f9deb8c.jpg,property_images\property_77.jpg,2.0,1.0,1.0,,,2024-11-07 13:26:43.240665
78,"Dijual Guest House Di Kota Yogyakarta, Hanya 2 Km Dari Stasiun Tugu",https://www.rumah123.com/properti/yogyakarta/hos18022830/,3000.0,"Rumah123 adalah platform properti terbesar dan tepercaya di Indonesia. Kami berkomitmen untuk menjaga kepercayaan para pencari properti dengan hanya menayangkan iklan yang kredibel dan terpercaya. Oleh karena itu, setiap Project perlu melalui proses verifikasi. Ajak Developer untuk memverifikasi Project ini bersama tim Rumah123",https://picture.rumah123.com/r123-images/720x420-crop/customer/1747804/654be7b3ce43cc685e4eb58dedf1c623.jpg,property_images\property_78.jpg,3.0,1.0,1.0,,,2024-11-07 13:26:44.983424
