Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean
Kuantan Regency Nogotirto Yogyakarta,"Gamping, Sleman",197000000000.0,3.0,2.0,1,128.0,85.0,0.197169069987437,0.025316455696202535,0.005319148936170213,0.0,3.628572465306419e-05,7.179493315806252e-05,antan regency nogotirto yogyakarta,gamping sleman,milik segera huni keluarga cinta rumah antan regency nogotirto huni,rumah dekat pusat belanja dekat sekolah
3 Unit Rumah Baru Purwomartani,"Kalasan, Sleman",725000000.0,2.0,1.0,1,95.0,70.0,0.000690714889911058,0.012658227848101266,0.0,0.0,2.685715053061444e-05,5.897440937983708e-05,3 unit rumah baru purwomartani,kalas sleman,jual rumah baru 3 unit lokasi startegis dekat banyak fasilitas umum,rumah dekat sekolah dekat fasilitas sehat
Taman Lavender Parangtritis Residence,"Sewon, Bantul",982000000.0,2.0,1.0,1,98.0,50.0,0.0009479811605011186,0.012658227848101266,0.0,0.0,2.7714293632655323e-05,4.1880377675536474e-05,taman lavender parangtritis residence,won bantul,kawasan rumah baru selatan kota yogyakarta lokasi strategis pinggir jalan parangtritis,rumah dekat akses transportasi dekat sekolah
"RUMAH BESAR LAPANG DEKAT RSA UGM JL KABUPATEN, DALAM RINGROAD","Gamping, Sleman",14000000000.0,3.0,1.0,1,198.0,100.0,0.013979468750156411,0.025316455696202535,0.0,0.0,5.628573036735153e-05,8.461545693628798e-05,rumah besar lapang dekat rsa ugm jl kabupaten ringroad,gamping sleman,rumah besar lapang jalan kabupaten dekat rsa ugm jombor uty jcm ringroad akses mudah,rumah dekat pusat belanja dekat sekolah
"RUMAH MINIMALIS MODERN SEMI FURNISHED UTARA BUDIMULIA TAJEM, MAGUWO","Ngemplak, Sleman",850000000.0,2.0,2.0,1,93.0,80.0,0.0008158443989529163,0.012658227848101266,0.005319148936170213,0.0,2.6285721795920515e-05,6.752142523198738e-05,rumah minimal modern semi furnished utara budimulia tajem maguwo,ngemplak sleman,rumah klasik modern semi furnished utara smp sma budimulia tajem maguwo spesifikasi luas tanah 93,rumah full furnished
RUMAH BESAR LAPANG LUAS TANAH 178 STRATEGIS DEKAT STADION MAGUWOHARJO & SEKOLAH BUDIMULIA TAJEM. 10 MENIT KE UPN,"Maguwoharjo, Yogyakarta",145000000000.0,3.0,3.0,2,178.0,131.0,0.14511519422602395,0.025316455696202535,0.010638297872340424,0.05263157894736842,5.0571443020412294e-05,0.00011111120607795391,rumah besar lapang luas tanah 178 strategis dekat stadion maguwoharjo sekolah budimulia tajem 10 menit upn,maguwoharjo yogyakarta,tinggal 2 unit 3 unit rumah luas tanah 170 m dekat jogjabay stadion maguwoharjo akses mudah,rumah dekat pusat belanja dekat sekolah dekat fasilitas sehat
Rumah Tipe 70 utara Stadion Maguwoharjo 5 mnt Budi Mulia Tajem,"Ngemplak, Sleman",735000000.0,3.0,2.0,1,105.0,70.0,0.0007007252506344066,0.025316455696202535,0.005319148936170213,0.0,2.971429420408406e-05,5.897440937983708e-05,rumah tipe 70 utara stadion maguwoharjo 5 mnt budi mulia tajem,ngemplak sleman,rumah tipe 70 75 utara jogja bay waterpark maguwo 1 km tk sd model sd negeri favorit,rumah dekat pusat belanja dekat sekolah dekat tempat wisata
RUMAH BAGUS DALAM PERUM DI SIDOARUM GODEAN,"Godean, Sleman",147000000000.0,5.0,4.0,1,140.0,200.0,0.14711726637069367,0.05063291139240507,0.015957446808510637,0.0,3.9714297061227735e-05,0.00017008561545779098,rumah bagus perum sidoarum godean,godean sleman,jual rumah rumah sidoarum godean sleman luas tanah 140 luas bangun 200 kamar tidur,rumah full furnished
"MASIH MAU MENUNDA BELI RUMAH DI JOGJAHANYA DENGAN 700 JUTA DAPAT RUMAH PREMIUM DALAM PERUMAHAN, SAMPING PERUM PERTAMINA, DEKAT KAMPUS UPN VETERAN YOGYAKARTA, INSTIPER YOGYAKARTA, UNRIYO, BANDARA ADISUCIPTO","Kalasan, Sleman",700000000.0,3.0,1.0,1,105.0,85.0,0.0006656889881026863,0.025316455696202535,0.0,0.0,2.971429420408406e-05,7.179493315806252e-05,mau tunda beli rumah jogjahanya 700 juta rumah premium rumah samping perum pertamina dekat kampus upn veteran yogyakarta instiper yogyakarta unriyo bandara adisucipto,kalas sleman,rumah jual sleman mau tunda beli rumah jogja rumah jual jogja samping rumah,rumah dekat akses transportasi dekat pusat belanja dekat sekolah
"RUMAH BARU SIAP HUNI DALAM PERUMAHAN SELATAN KAMPUS UMY, ALMAATA","Kasihan, Bantul",510000000.0,3.0,1.0,1,89.0,60.0,0.00047549213435906163,0.025316455696202535,0.0,0.0,2.5142864326532666e-05,5.042739352768678e-05,rumah baru siap huni rumah selatan kampus umy almaata,kasihan bantul,rumah jual bantul rumah siap huni cluster tepi jln raya kasihan selatan umy lt 89m lb,rumah siap huni dekat sekolah
